country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","18-02-2026 16:00:00",26.1209,85.3647,CO,24,68,49
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","18-02-2026 16:00:00",25.586562,85.043586,PM10,70,206,136
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","18-02-2026 16:00:00",25.586562,85.043586,NH3,4,5,5
India,Bihar,Patna,"Muradpur, Patna - BSPCB","18-02-2026 16:00:00",25.619651,85.147382,NH3,4,5,5
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","18-02-2026 16:00:00",26.349082,92.68449,OZONE,8,10,9
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","18-02-2026 16:00:00",26.446912,91.439057,CO,20,22,21
India,Assam,Silchar,"Tarapur, Silchar - PCBA","18-02-2026 16:00:00",24.82827,92.79525,PM2.5,13,81,45
India,Assam,Silchar,"Tarapur, Silchar - PCBA","18-02-2026 16:00:00",24.82827,92.79525,NH3,1,2,2
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","18-02-2026 16:00:00",26.146529,87.454184,PM2.5,53,306,101
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","18-02-2026 16:00:00",25.5626095,84.663264,CO,28,62,49
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","18-02-2026 16:00:00",25.5626095,84.663264,OZONE,7,8,8
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","18-02-2026 16:00:00",24.75746,84.366208,PM2.5,15,72,34
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","18-02-2026 16:00:00",25.42742023,86.13886079,CO,24,62,33
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","18-02-2026 16:00:00",26.80365,84.51954,NO2,4,9,8
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","18-02-2026 16:00:00",26.80365,84.51954,NH3,1,1,1
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","18-02-2026 16:00:00",26.80365,84.51954,OZONE,21,23,23
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","18-02-2026 16:00:00",25.265194,87.012947,NO2,6,8,7
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","18-02-2026 16:00:00",25.567520,83.966379,PM10,42,113,72
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","18-02-2026 16:00:00",16.5150833,80.5181667,PM2.5,73,201,112
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","18-02-2026 16:00:00",16.5150833,80.5181667,CO,16,77,32
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","18-02-2026 16:00:00",28.5710274,77.0719006,CO,26,106,56
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","18-02-2026 16:00:00",28.5627763,77.1180053,PM2.5,31,319,143
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","18-02-2026 16:00:00",28.6811736,77.3025234,PM10,120,209,164
India,Delhi,Delhi,"ITO, Delhi - CPCB","18-02-2026 16:00:00",28.628624,77.241060,SO2,7,22,16
India,Delhi,Delhi,"ITO, Delhi - CPCB","18-02-2026 16:00:00",28.628624,77.241060,CO,20,114,45
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","18-02-2026 16:00:00",28.732820,77.170633,PM2.5,63,414,246
India,Bihar,Patna,"Muradpur, Patna - BSPCB","18-02-2026 16:00:00",25.619651,85.147382,OZONE,5,15,12
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","18-02-2026 16:00:00",25.599486,85.113666,SO2,3,10,6
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","18-02-2026 16:00:00",25.366336,87.117468,PM10,61,94,77
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","18-02-2026 16:00:00",25.366336,87.117468,NH3,3,3,3
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","18-02-2026 16:00:00",25.366336,87.117468,SO2,14,25,18
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","18-02-2026 16:00:00",25.892357,86.590325,NO2,6,9,7
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","18-02-2026 16:00:00",25.892357,86.590325,CO,32,41,37
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","18-02-2026 16:00:00",25.859655,85.77944,SO2,26,33,29
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","18-02-2026 16:00:00",25.859655,85.77944,CO,7,10,8
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","18-02-2026 16:00:00",26.2271665,84.3570427,PM10,64,109,87
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","18-02-2026 16:00:00",30.735567,76.775714,SO2,9,23,12
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","18-02-2026 16:00:00",30.751462,76.762879,NO2,8,23,15
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","18-02-2026 16:00:00",21.185571,81.343175,OZONE,9,12,10
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","18-02-2026 16:00:00",21.224231,81.408350,PM2.5,12,89,49
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","18-02-2026 16:00:00",21.224231,81.408350,NH3,3,6,5
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","18-02-2026 16:00:00",21.224231,81.408350,OZONE,4,16,13
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","18-02-2026 16:00:00",22.08815,82.13737,PM10,52,123,90
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","18-02-2026 16:00:00",22.08815,82.13737,CO,17,109,30
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","18-02-2026 16:00:00",22.348441,82.549611,SO2,6,16,11
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","18-02-2026 16:00:00",22.348441,82.549611,CO,19,52,24
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","18-02-2026 16:00:00",21.258815,81.578979,PM2.5,26,103,63
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","18-02-2026 16:00:00",21.258815,81.578979,NO2,32,49,43
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","18-02-2026 16:00:00",21.219665,81.630094,PM2.5,21,86,53
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","18-02-2026 16:00:00",21.219665,81.630094,NO2,2,62,29
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","18-02-2026 16:00:00",21.219665,81.630094,SO2,3,35,13
India,Delhi,Delhi,"Alipur, Delhi - DPCC","18-02-2026 16:00:00",28.815329,77.153010,CO,33,57,44
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","18-02-2026 16:00:00",28.647622,77.3158090,NH3,10,26,15
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","18-02-2026 16:00:00",28.4706914,77.1099364,PM10,71,269,176
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","18-02-2026 16:00:00",28.4706914,77.1099364,NO2,19,78,48
India,Delhi,Delhi,"Bawana, Delhi - DPCC","18-02-2026 16:00:00",28.776200,77.051074,OZONE,4,96,17
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","18-02-2026 16:00:00",28.656756,77.227234,NO2,22,48,37
India,Delhi,Delhi,"DTU, Delhi - CPCB","18-02-2026 16:00:00",28.7500499,77.1112615,PM2.5,41,406,211
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","18-02-2026 16:00:00",28.498571,77.264840,PM10,79,240,160
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","18-02-2026 16:00:00",28.5710274,77.0719006,NH3,13,23,19
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","18-02-2026 16:00:00",30.719859,76.738637,PM10,20,175,86
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","18-02-2026 16:00:00",30.719859,76.738637,NH3,15,19,17
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","18-02-2026 16:00:00",21.185571,81.343175,PM2.5,15,72,41
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","18-02-2026 16:00:00",21.185571,81.343175,PM10,22,103,50
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","18-02-2026 16:00:00",21.185571,81.343175,CO,28,34,30
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","18-02-2026 16:00:00",21.371751,81.664929,PM2.5,41,320,151
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","18-02-2026 16:00:00",21.371751,81.664929,PM10,31,153,108
India,Delhi,Delhi,"Alipur, Delhi - DPCC","18-02-2026 16:00:00",28.815329,77.153010,PM2.5,32,350,215
India,Delhi,Delhi,"Alipur, Delhi - DPCC","18-02-2026 16:00:00",28.815329,77.153010,NO2,29,75,50
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","18-02-2026 16:00:00",23.020509,72.579261,NO2,41,164,89
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","18-02-2026 16:00:00",23.020509,72.579261,NH3,14,33,21
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","18-02-2026 16:00:00",23.020509,72.579261,CO,1,74,26
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","18-02-2026 16:00:00",23.016834,72.625775,NO2,14,90,51
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","18-02-2026 16:00:00",23.041137,72.456691,SO2,9,16,11
